Title: Population Distribution by Race/Ethnicity | The Henry J. Kaiser Family Foundation,,,,,,,,,
Timeframe: 2012,,,,,,,,,
Location,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes
United States,192305000,36797500,51773400,2022800,15067900,472200,6937700,305376600,1
Alabama,3145700,1220200,179400,23800,56700,N/A,69100,4696000,
Alaska,446300,23600,40300,1.00E+05,42000,6800,47200,706200,
Arizona,3651000,247400,1920600,253800,185200,8400,120000,6386300,
Arkansas,2122600,438300,192100,13700,35800,5000,52800,2860200,
California,14578700,2046600,14271100,139300,4969400,125200,1091100,37221500,
Colorado,3517600,188200,1057400,26100,144000,4900,107600,5045900,
Connecticut,2440900,327200,495900,5300,141500,N/A,65900,3479300,
Delaware,572800,181900,77200,2000,29600,N/A,24300,888000,
District of Columbia,207600,293900,61500,1600,20000,N/A,11400,596000,
Florida,10737900,2856600,4413400,39500,473900,10000,345600,18876900,
Georgia,5320600,2897000,880600,17400,325300,N/A,173800,9616400,
Hawaii,288800,16500,123200,2300,516200,125600,257700,1330300,
Idaho,1305400,6100,180000,14500,18900,N/A,36200,1562500,
Illinois,7915300,1750100,2067800,12500,590500,N/A,227400,12567900,
Indiana,5142300,561600,399200,11500,101900,N/A,119700,6338800,
Iowa,2622600,84300,156000,4200,53500,2500,52900,2976000,
Kansas,2167400,152100,306900,23900,66700,N/A,69500,2787500,
Kentucky,3653900,322500,127100,5900,53900,N/A,69600,4235100,
Louisiana,2678500,1414000,199900,20200,71400,N/A,71400,4457000,
Maine,1218200,10300,18900,8200,12300,N/A,24700,1292600,
Maryland,3084300,1637300,498100,12700,330600,N/A,156900,5722700,
Massachusetts,4830400,405100,650300,8000,369400,N/A,146100,6410600,
Michigan,7383900,1330200,441400,44800,231000,N/A,226800,9659300,
Minnesota,4332800,269200,257500,52800,220800,N/A,119400,5256300,
Mississippi,1669200,1082700,68500,11500,22500,N/A,29600,2884500,
Missouri,4717300,653900,209300,23300,97300,N/A,125500,5830600,
Montana,853800,N/A,29600,66000,5600,N/A,21000,978700,
Nebraska,1463200,80500,173800,13400,35500,N/A,26900,1795100,
Nevada,1434800,210500,741300,23800,202800,18100,79600,2710900,
New Hampshire,1176100,13500,38600,3200,27900,N/A,20900,1280100,
New Jersey,5044400,1078000,1616200,7500,768100,N/A,168800,8685500,
New Mexico,812200,34000,960400,178400,25900,N/A,27500,2039200,
New York,10922400,2719700,3476600,42600,1456800,N/A,413700,19040100,
North Carolina,6107600,1992500,818900,98300,219500,6400,196000,9439200,
North Dakota,593700,10800,14700,34200,7200,N/A,8700,671900,
Ohio,9073800,1333600,359300,19500,190000,3700,242100,11222100,
Oklahoma,2510800,253500,346000,272100,65800,3.20E+03,238000,3689500,
Oregon,2975500,62700,464200,39800,144200,15300,123800,3825500,
Pennsylvania,9760800,1262300,750700,13000,349500,N/A,209400,12347600,
Rhode Island,759200,48300,135700,2700,30800,N/A,31100,1007900,
South Carolina,2937500,1238900,234900,13200,57400,N/A,85500,4569100,
South Dakota,672600,14900,22100,69900,7100,N/A,13400,800400,
Tennessee,4728400,1037000,298900,11900,92000,2600,106800,6277400,
Texas,11265800,2874000,9756900,58600,1027500,16300,385300,25384300,
Utah,2240100,25100,369300,23800,61900,23400,58300,2801700,
Vermont,566700,5600,8300,N/A,9100,N/A,9000,600700,
Virginia,5047300,1470000,658500,14500,463400,4000,207900,7865500,
Washington,4827200,231100,787000,77900,487500,37300,285000,6732900,
West Virginia,1680700,55200,21500,N/A,11100,N/A,31100,1801800,
Wisconsin,4625000,322100,343400,46400,135700,N/A,93100,5566100,
Wyoming,474000,4300,53100,9300,5200,N/A,13000,559000,
Puerto Rico,22900,N/A,3601200,N/A,N/A,N/A,6100,3634000,
,,,,,,,,,
Notes,,,,,,,,,
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. ",,,,,,,,,
,,,,,,,,,
Population numbers are rounded to the nearest 100.,,,,,,,,,
,,,,,,,,,
Sources,,,,,,,,,
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2018.",,,,,,,,,
,,,,,,,,,
Definitions,,,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,,,
,,,,,,,,,
Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Footnotes,,,,,,,,,
1. US total excludes Puerto Rico.,,,,,,,,,
