,,,,Turnout Rate,Denominators,,Vote in Party Contest,,,,Notes,
Date,State,Election Type,Party,VEP Total Ballots Counted,Voting-Eligible Population (VEP),Voting-Age Population (VAP),Democrat,Republican,Minor,Total Ballots Counted,Total Ballots Counted May Include Under and Over Votes,
2/3/2020,Iowa,Caucus,D&R,9.1%,"2,305,858","2,433,266","176,352","32,389",,"208,741",https://www.desmoinesregister.com/elections/results/primaries/democratic/iowa/,
2/11/2020,New Hampshire,Primary,D&R,42.4%,"1,077,914","1,109,471","300,742","156,587",,"457,329",https://sos.nh.gov/20PPresults.aspx,
2/22/2020,Nevada,Caucus,D,4.9%,"2,123,520","2,415,267","104,883",n/a,,"104,883",,
2/29/2020,South Carolina,Primary,D,13.8%,"3,896,958","4,072,138","539,136",n/a,,"539,136",https://www.enr-scvotes.org/SC/100517/Web02-state.242137/#/,
3/3/2020,Alabama,Primary,D&R,32.4%,"3,673,641","3,826,209","452,093","722,809",,"1,189,069",http://www2.alabamavotes.gov/electionnight/statewideResultsByContest.aspx?ecode=1001060,
,Arkansas,Primary,D&R,20.6%,"2,178,962","2,324,410","228,351","244,399",,"448,954",https://results.enr.clarityelections.com/AR/101561/web.241347/#/summary,
,California,Primary,D&R,39.1%,"25,723,148","30,700,419",,,,"10,051,440",https://electionresults.sos.ca.gov/,Total ballots counted so far + outstanding ballot estimates (this is likely an over-estimate given recency of outstanding ballot reports in some counties)
,Colorado,Primary,D&R,42.5%,"4,242,194","4,547,360","958,928","681,156",,"1,804,575",https://results.enr.clarityelections.com/CO/100039/web.241347/#/summary,Votes for candidates who dropped out are not reported
,Maine,Primary,D&R,19.4%,"1,080,561","1,099,929","210,000",,,"210,000",https://bangordailynews.com/maine-elections/state/,Projected
,Massachusetts,Primary,D&R,33.7%,"5,043,097","5,553,077","1,418,180","277,002","5,779","1,700,961",https://electionstats.state.ma.us/elections/search/year_from:2020/year_to:2020/office_id:1/stage:Primaries,
,Minnesota,Primary,D&R,21.7%,"4,081,093","4,357,606","744,198","140,555",,"884,753",https://electionresults.sos.state.mn.us/Results/StatewidePnp/132?officeInElectionId=22262,
,North Carolina,Primary,D&R,28.1%,"7,695,964","8,258,006","1,331,366","802,446","6,717","2,163,470",https://er.ncsbe.gov/?election_dt=03/03/2020&county_id=0&office=FED&contest=0,
,Oklahoma,Primary,D&R,21.2%,"2,833,921","3,018,262","303,977","295,409",,"599,386",https://results.okelections.us/OKER/?elecDate=20200303,
,Tennessee,Primary,D&R,17.9%,"5,090,236","5,355,171","515,167","398,045",,"913,212",https://www.elections.tn.gov/results.php?ByOffice=Candidates%20for%20President%20of%20the%20United%20States,
,Texas,Primary,D&R,21.0%,"18,474,747","21,827,165","1,869,419","2,017,167",,"3,886,586",https://results.texas-election.com/landing-page,
,Utah,Primary,D&R,25.6%,"2,155,622","2,309,079","210,780","340,213",,"550,993",https://electionresults.utah.gov/elections/federal,Unknown how many outstanding ballots to be counted
,Vermont,Primary,D&R,39.4%,"500,210","510,810","158,006","39,184",,"197,190",https://vtelectionresults.sec.state.vt.us/Index.html#/,
,Virginia,Primary,D,21.4%,"6,187,283","6,701,056","1,321,118",n/a,,"1,321,118",https://results.elections.virginia.gov/vaelections/2020%20March%20Democratic%20Presidential%20Primary/Site/President.html,
3/10/2020,Idaho,Primary,D&R,17.4%,"1,271,285","1,361,774","106,396","114,259",862,"221,517",https://www.livevoterturnout.com/Idaho/LiveResults/1/en/Index_111.html,
,Michigan,Primary,D&R,30.1%,"7,527,525","7,856,894","1,583,926","681,651",,"2,265,577",https://mielections.us/election/results/2020PPR_CENR.html,
,Mississippi,Primary,D&R,,"2,194,354","2,278,489",,,,,,
,Missouri,Primary,D&R,21.2%,"4,589,763","4,780,820","660,083","309,211","3,483","972,777",https://enr.sos.mo.gov/,
,North Dakota,Primary,D,2.6%,"563,581","583,251","14,405",n/a,,"14,405",https://twitter.com/nddemnpl/status/1237709872071835648,
,Washington,Primary,D&R,41.2%,"5,399,721","6,010,939",,,,"2,222,621",https://results.vote.wa.gov/results/current/,Ballots are still being counted
3/14/2020,Wyoming,Convention,R,,"429,500","446,470",,,,,,
3/17/2020,Arizona,Primary,D,10.6%,"5,114,877","5,718,477","399,480",n/a,,"541,378",https://results.arizona.vote/#/featured/28/0,Votes for candidates who dropped out are not reported
