Year,County,Turnout_number
2020,OXFORD COUNTY,6148
2020,FRANKLIN COUNTY,3475
2020,SOMERSET COUNTY,4029
2020,PISCATAQUIS COUNTY,1353
2020,AROOSTOOK COUNTY,5832
2020,PENOBSCOT COUNTY,15816
2020,WASHINGTON COUNTY,2864
2020,HANCOCK COUNTY,9458
2020,WALDO COUNTY,6474
2020,KNOX COUNTY,7883
2020,KENNEBEC COUNTY,15565
2020,LINCOLN COUNTY,6173
2020,SAGADAHOC COUNTY,6672
2020,ANDROSCOGGIN COUNTY,11071
2020,CUMBERLAND COUNTY,65403
2020,YORK COUNTY,32431
2016,ANDROSCOGGIN COUNTY,215
2016,AROOSTOOK COUNTY,162
2016,CUMBERLAND COUNTY,944
2016,FRANKLIN COUNTY,67
2016,HANCOCK COUNTY,153
2016,KENNEBEC COUNTY,319
2016,KNOX COUNTY,116
2016,LINCOLN COUNTY,88
2016,OXFORD COUNTY,115
2016,PENOBSCOT COUNTY,350
2016,PISCATAQUIS COUNTY,40
2016,SAGADAHOC COUNTY,109
2016,SOMERSET COUNTY,108
2016,WALDO COUNTY,101
2016,WASHINGTON COUNTY,73
2016,YORK COUNTY,462
