,Year,County,Turnout_number,index,Total_pop,Male_pop,Female_pop,pop<5,pop<10,pop<15,pop<20,pop<25,pop<35,pop<45,pop<55,pop<60,pop<65,pop<75,pop<85,pop>=85,White,Black,Native,Asian,Islander,OtherRace,TwoOrMore
0,2020,OXFORD,6148,10,57325,28316,29009,2635,3016,3072,3521,2767,5782,6498,8391,4906,5004,6915,3121,1697,55192,256,172,273,4,96,1332
1,2020,FRANKLIN,3475,5,30019,14651,15368,1408,1486,1530,2058,1991,3211,3005,4037,2448,2533,3800,1800,712,28993,84,119,114,31,62,616
2,2020,SOMERSET,4029,14,50710,25085,25625,2329,3107,2559,2864,2422,5347,5911,7703,4427,3810,6239,2830,1162,49017,300,224,155,0,26,988
3,2020,PISCATAQUIS,1353,12,16887,8440,8447,707,771,810,957,717,1426,1733,2395,1537,1579,2595,1168,492,16229,91,92,115,0,100,260
4,2020,AROOSTOOK,5832,3,68269,33745,34524,3304,3383,3540,3941,3699,6689,7129,9758,5827,5499,8724,4521,2255,64865,665,1249,293,10,124,1063
5,2020,PENOBSCOT,15816,11,151748,75196,76552,7161,7681,8015,10564,10935,20074,17093,21042,11651,11095,15213,7854,3370,143791,1370,1731,1581,63,341,2871
6,2020,WASHINGTON,2864,16,31694,15614,16080,1513,1515,1919,1781,1658,3006,3276,4274,2588,2796,4396,2122,850,28896,152,1607,139,4,190,706
7,2020,HANCOCK,9458,6,54541,26374,28167,2383,2685,2784,2648,2698,5907,5761,7597,4662,4710,7714,3364,1628,52323,465,225,569,58,40,861
8,2020,WALDO,6474,15,39418,19347,20071,1801,2015,2279,2290,1992,4137,4574,5423,3237,3371,5277,2169,853,38039,231,182,195,0,88,683
9,2020,KNOX,7883,8,39823,19701,20122,1771,2001,2105,1996,1919,4069,4487,5365,3469,3293,5459,2650,1239,38386,232,136,215,0,16,838
10,2020,KENNEBEC,15565,7,121545,59159,62386,6029,6400,7019,7469,7311,13689,13987,17590,9935,9185,13283,6709,2939,116510,1045,666,1153,97,150,1924
11,2020,LINCOLN,6173,9,34067,16624,17443,1339,1757,1491,1687,1647,3186,3526,4593,2461,3375,5342,2716,947,33033,161,138,324,0,79,332
12,2020,SAGADAHOC,6672,13,35277,17228,18049,1784,2047,1694,1808,1636,3917,3877,5216,3361,2472,4469,2100,896,33730,265,120,228,0,60,874
13,2020,ANDROSCOGGIN,11071,2,107444,52514,54930,6456,6811,6364,6701,6595,13032,12915,15291,8401,6774,10539,5339,2226,98333,2260,249,812,4,224,5562
14,2020,CUMBERLAND,65403,4,290944,141276,149668,14155,16143,15248,17681,18290,38696,35506,42305,22675,19881,29516,13893,6955,267511,8481,547,6145,16,1033,7211
15,2020,YORK,32431,17,203102,99029,104073,9662,9883,12249,11781,11076,23678,23439,29754,16686,15776,22947,11059,5112,194369,1823,845,2606,31,341,3087
16,2016,ANDROSCOGGIN,215,2,107444,52514,54930,6456,6811,6364,6701,6595,13032,12915,15291,8401,6774,10539,5339,2226,98333,2260,249,812,4,224,5562
17,2016,AROOSTOOK,162,3,68269,33745,34524,3304,3383,3540,3941,3699,6689,7129,9758,5827,5499,8724,4521,2255,64865,665,1249,293,10,124,1063
18,2016,CUMBERLAND,944,4,290944,141276,149668,14155,16143,15248,17681,18290,38696,35506,42305,22675,19881,29516,13893,6955,267511,8481,547,6145,16,1033,7211
19,2016,FRANKLIN,67,5,30019,14651,15368,1408,1486,1530,2058,1991,3211,3005,4037,2448,2533,3800,1800,712,28993,84,119,114,31,62,616
20,2016,HANCOCK,153,6,54541,26374,28167,2383,2685,2784,2648,2698,5907,5761,7597,4662,4710,7714,3364,1628,52323,465,225,569,58,40,861
21,2016,KENNEBEC,319,7,121545,59159,62386,6029,6400,7019,7469,7311,13689,13987,17590,9935,9185,13283,6709,2939,116510,1045,666,1153,97,150,1924
22,2016,KNOX,116,8,39823,19701,20122,1771,2001,2105,1996,1919,4069,4487,5365,3469,3293,5459,2650,1239,38386,232,136,215,0,16,838
23,2016,LINCOLN,88,9,34067,16624,17443,1339,1757,1491,1687,1647,3186,3526,4593,2461,3375,5342,2716,947,33033,161,138,324,0,79,332
24,2016,OXFORD,115,10,57325,28316,29009,2635,3016,3072,3521,2767,5782,6498,8391,4906,5004,6915,3121,1697,55192,256,172,273,4,96,1332
25,2016,PENOBSCOT,350,11,151748,75196,76552,7161,7681,8015,10564,10935,20074,17093,21042,11651,11095,15213,7854,3370,143791,1370,1731,1581,63,341,2871
26,2016,PISCATAQUIS,40,12,16887,8440,8447,707,771,810,957,717,1426,1733,2395,1537,1579,2595,1168,492,16229,91,92,115,0,100,260
27,2016,SAGADAHOC,109,13,35277,17228,18049,1784,2047,1694,1808,1636,3917,3877,5216,3361,2472,4469,2100,896,33730,265,120,228,0,60,874
28,2016,SOMERSET,108,14,50710,25085,25625,2329,3107,2559,2864,2422,5347,5911,7703,4427,3810,6239,2830,1162,49017,300,224,155,0,26,988
29,2016,WALDO,101,15,39418,19347,20071,1801,2015,2279,2290,1992,4137,4574,5423,3237,3371,5277,2169,853,38039,231,182,195,0,88,683
30,2016,WASHINGTON,73,16,31694,15614,16080,1513,1515,1919,1781,1658,3006,3276,4274,2588,2796,4396,2122,850,28896,152,1607,139,4,190,706
31,2016,YORK,462,17,203102,99029,104073,9662,9883,12249,11781,11076,23678,23439,29754,16686,15776,22947,11059,5112,194369,1823,845,2606,31,341,3087
