,State,VEP_Counted,VEP,Minor,Cast,VAP,Democrat,Republican,Year,Counted,Type,Treatment,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes,OtherRace
0,Iowa,16.1%,"2,196,724",,"354,696","2,284,730","236,000","118,696",2008,,Caucus,,2609000.0,77500.0,118700.0,4300.0,43700.0,,39000.0,2894000.0,,
1,Wyoming,,"387,058",,,"401,306",,"1,200",2008,,Caucus,,446500.0,4500.0,41600.0,8900.0,2900.0,,11700.0,516100.0,,
2,New Hampshire,53.6%,"988,708",,"529,711","1,021,849","288,672","241,039",2008,,Primary,,1185300.0,8000.0,37700.0,,26100.0,,15600.0,1275300.0,,
3,Michigan,20.0%,"7,304,120",,"1,463,567","7,627,954","594,398","869,169",2008,,Primary,,7594800.0,1317400.0,396100.0,45900.0,217500.0,2400.0,190400.0,9764400.0,,
4,Nevada,9.7%,"1,669,337",,"161,874","1,931,679","117,559","44,315",2008,,Caucus,,1447500.0,181000.0,664100.0,28400.0,153500.0,10900.0,71400.0,2556800.0,,
5,South Carolina,,"3,230,163",,,"3,380,941",,"445,499",2008,,Primary,,2819300.0,1205500.0,167900.0,9600.0,45400.0,,69400.0,4318400.0,,
6,South Carolina,30.3%,"3,230,163",,"977,650","3,380,941","532,151",,2008,,Primary,,2819300.0,1205500.0,167900.0,9600.0,45400.0,,69400.0,4318400.0,,
7,Florida,34.0%,"12,553,134",,"4,268,602","14,299,134","1,749,920","1,949,498",2008,,Primary,,10772300.0,2598100.0,3771200.0,35500.0,410100.0,6300.0,280600.0,17874300.0,,
8,Maine,,"1,023,959",,,"1,041,335",,"5,338",2008,,Caucus,,1215200.0,9700.0,12000.0,6100.0,9200.0,,21500.0,1274100.0,,
9,Alabama,32.2%,"3,379,070",,"1,088,835","3,523,994","536,626","552,209",2008,,Primary,,3108700.0,1169700.0,124800.0,22200.0,43900.0,,56600.0,4526900.0,,
10,Alaska,5.0%,"475,224",,"23,621","505,524","8,621","15,000",2008,,Caucus,,433100.0,18700.0,34600.0,86900.0,30400.0,5600.0,45300.0,654700.0,,
11,Arizona,24.2%,"4,121,551",,"998,393","4,744,180","456,626","541,767",2008,,Primary,,3704300.0,214500.0,1922100.0,261200.0,148600.0,6300.0,106000.0,6363000.0,,
12,Arkansas,26.8%,"2,029,675",838,"544,170","2,146,616","315,839","229,882",2008,,Primary,,2096900.0,422400.0,152500.0,15900.0,29100.0,1800.0,51200.0,2769700.0,,
13,California,40.0%,"22,726,155","105,168","9,086,415","27,356,412","5,066,992","2,932,812",2008,,Primary,,15080500.0,2071300.0,13174300.0,150200.0,4396000.0,122600.0,887200.0,35882000.0,,
14,Colorado,5.4%,"3,412,102",,"185,401","3,713,368","120,001","65,400",2008,,Caucus,1.0,3422900.0,160700.0,967900.0,30400.0,126000.0,4500.0,104400.0,4816700.0,,
15,Connecticut,20.5%,"2,467,974",,"507,166","2,689,915","355,561","151,605",2008,,Primary,,2498400.0,298400.0,410400.0,6000.0,113300.0,,56400.0,3383800.0,,
16,Delaware,23.8%,"616,724",,"146,578","665,181","96,341","50,237",2008,,Primary,,571900.0,168500.0,60800.0,2800.0,24200.0,,16100.0,844200.0,,
17,Georgia,32.0%,"6,329,221",,"2,024,392","7,098,566","1,060,851","963,541",2008,,Primary,,5466500.0,2726500.0,761300.0,15000.0,267000.0,,136800.0,9376400.0,,
18,Idaho,,"1,026,963",,,"1,107,344","21,224",,2008,,Caucus,1.0,1259500.0,8400.0,154600.0,13600.0,16200.0,,30700.0,1484300.0,,
19,Illinois,33.8%,"8,832,544","2,672","2,986,982","9,699,779","2,038,614","899,422",2008,,Primary,,8094900.0,1775900.0,1931100.0,13500.0,549700.0,,189600.0,12556000.0,,
20,Kansas,,"1,971,844",,,"2,090,119","37,089",,2008,,Caucus,,2172500.0,140800.0,259600.0,15900.0,56000.0,,55200.0,2701400.0,,
21,Massachusetts,38.2%,"4,624,671","2,445","1,768,206","5,033,718","1,263,764","501,997",2008,,Primary,,4932400.0,350600.0,536700.0,9800.0,302800.0,,132300.0,6265100.0,,
22,Minnesota,7.4%,"3,724,120",269,"277,163","3,962,872","214,066","62,828",2008,,Caucus,1.0,4326700.0,233700.0,212800.0,50000.0,176900.0,,84100.0,5084500.0,,
23,Missouri,33.0%,"4,297,028","2,057","1,415,951","4,477,478","825,050","588,844",2008,,Primary,,4729200.0,618900.0,175800.0,18100.0,80300.0,,102300.0,5728200.0,,
24,Montana ,,"734,265",,,"744,486",,"1,817",2008,,Caucus,,,,,,,,,,,
25,New Jersey,29.2%,"5,850,338",,"1,707,400","6,642,923","1,141,199","566,201",2008,,Primary,,5240200.0,1085700.0,1399200.0,10200.0,633500.0,,125100.0,8494600.0,,
26,New Mexico,,"1,364,055",,,"1,484,232","153,299",,2008,,Caucus,,803100.0,36000.0,876200.0,162700.0,24700.0,,30800.0,1934000.0,,
