,State,VEP_Counted,VEP,Minor,Cast,VAP,Democrat,Republican,Year,Counted,Type,Treatment,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes,OtherRace,Treatment2
9,Alabama,32.2,"3,379,070",,"1,088,835","3,523,994","536,626","552,209",2008,,Primary,,3108700,1169700,124800,22200,43900,,56600,4526900,,,3
89,Alabama,24.8,"3,506,778",,"871,025","3,701,519","205,767","621,916",2012,,Primary,,3145700,1220200,179400,23800,56700,,69100,4696000,,,3
132,Alabama,35,"3,602,334",,,"3,764,601","399,899","860,652",2016,"1,260,551",Primary,,3121800,1252500,194500,21400,57600,,81100,4730100,,,3
193,Alabama,32.4,"3,673,641",,,"3,826,209","452,093","722,809",2020,"1,189,069",Primary,,3317453,1293186,,25576,64609,2182,91619,4864680,,70055,3
10,Alaska,5,"475,224",,"23,621","505,524","8,621","15,000",2008,,Caucus,,433100,18700,34600,86900,30400,5600,45300,654700,,,NA
74,Alaska,2.8,"507,496",,"14,135","545,692",,"14,135",2012,,Caucus,,446300,23600,40300,100000,42000,6800,47200,706200,,,NA
165,Alaska,6.2,"520,731",,,"553,484","10,600",,2016,"32,530",Caucus,,439200,20700,47800,107200,42600,8800,48600,714900,,,NA
11,Arizona,24.2,"4,121,551",,"998,393","4,744,180","456,626","541,767",2008,,Primary,,3704300,214500,1922100,261200,148600,6300,106000,6363000,,,3
71,Arizona,11.9,"4,298,024",573,"511,812","4,895,942",,"511,239",2012,,Primary,,3651000,247400,1920600,253800,185200,8400,120000,6386300,,,3
162,Arizona,23.5,"4,659,373",880,,"5,268,830","468,461","625,770",2016,"1,095,111",Primary,,3754900,270000,2087500,266700,213600,11600,156600,6760900,,,3
214,Arizona,12,"5,114,877",,,"5,718,477","468,485",,2020,"613,355",Primary,,5364141,305259,,309580,228887,14112,252883,6946685,,471823,3
12,Arkansas,26.8,"2,029,675",838,"544,170","2,146,616","315,839","229,882",2008,,Primary,,2096900,422400,152500,15900,29100,1800,51200,2769700,,,3
116,Arkansas,15.9,"2,114,416",,"335,885","2,252,326","162,647","152,360",2012,,Primary,,2122600,438300,192100,13700,35800,5000,52800,2860200,,,3
134,Arkansas,30.2,"2,137,115",,,"2,281,940","221,020","410,920",2016,"644,523",Primary,,2114900,441600,210000,17300,39500,7700,64500,2895400,,,3
194,Arkansas,20.6,"2,178,962",,,"2,324,410","228,351","244,399",2020,"448,954",Primary,,2302874,460970,,20037,43988,7969,75852,2990671,,78981,3
13,California,40,"22,726,155","105,168","9,086,415","27,356,412","5,066,992","2,932,812",2008,,Primary,,15080500,2071300,13174300,150200,4396000,122600,887200,35882000,,,NA
119,California,22.9,"23,265,447","79,488","5,328,296","28,631,583","2,076,309","1,924,970",2012,,Primary,,14578700,2046600,14271100,139300,4969400,125200,1091100,37221500,,,NA
182,California,34,"25,126,973","93,119",,"30,367,243","5,173,338","2,227,306",2016,"8,548,301",Primary,,14418700,2066000,15009300,121600,5448900,129900,1248000,38442400,,,NA
195,California,37.1,"25,723,148","101,569",,"30,700,419","5,685,215","2,441,477",2020,"9,540,295",Primary,,23529068,2267875,,296475,5604339,153366,1882227,39148760,,5415410,NA
14,Colorado,5.4,"3,412,102",,"185,401","3,713,368","120,001","65,400",2008,,Caucus,1,3422900,160700,967900,30400,126000,4500,104400,4816700,,,1
68,Colorado,1.8,"3,603,764",,"66,027","3,926,310",,"66,027",2012,,Caucus,1,3517600,188200,1057400,26100,144000,4900,107600,5045900,,,1
196,Colorado,42.6,"4,242,194",,,"4,547,360","958,928","681,156",2020,"1,806,325",Primary,1,4655584,227938,,54483,172695,8296,197328,5531141,,214817,1
15,Connecticut,20.5,"2,467,974",,"507,166","2,689,915","355,561","151,605",2008,,Primary,,2498400,298400,410400,6000,113300,,56400,3383800,,,NA
105,Connecticut,2.3,"2,528,416",,"59,639","2,787,114",,"59,639",2012,,Primary,,2440900,327200,495900,5300,141500,,65900,3479300,,,NA
171,Connecticut,21,"2,579,776",,,"2,831,012","328,624","213,647",2016,"542,271",Primary,,2342200,340100,546300,4700,154900,,76700,3465100,,,NA
16,Delaware,23.8,"616,724",,"146,578","665,181","96,341","50,237",2008,,Primary,,571900,168500,60800,2800,24200,,16100,844200,,,NA
106,Delaware,4.3,"658,884",,"28,592","705,473",,"28,592",2012,,Primary,,572800,181900,77200,2000,29600,,24300,888000,,,NA
172,Delaware,23.5,"695,642",,,"749,184","93,640","69,892",2016,"163,532",Primary,,581900,191300,85000,2900,37300,,25200,924300,,,NA
38,District of Columbia,30.1,"435,511",530,"131,103","476,698","123,994","6,211",2008,,Primary,,176700,301800,48800,1700,17600,,11600,558900,,,NA
96,District of Columbia,13.7,"470,976",379,"64,349","519,004","58,714","5,256",2012,,Primary,,207600,293900,61500,1600,20000,,11400,596000,,,NA
188,District of Columbia,20.2,"510,895",,,"563,776","100,423",,2016,"103,262",Primary,,231400,301700,71600,,23800,,15000,644400,,,NA
7,Florida,34,"12,553,134",,"4,268,602","14,299,134","1,749,920","1,949,498",2008,,Primary,,10772300,2598100,3771200,35500,410100,6300,280600,17874300,,,3
65,Florida,12.8,"13,088,171",,"1,676,176","15,094,059",,"1,676,176",2012,,Primary,,10737900,2856600,4413400,39500,473900,10000,345600,18876900,,,3
157,Florida,28.2,"14,445,578",,,"16,383,763","1,709,183","2,361,805",2016,"4,070,988",Primary,,11017500,3050800,5045400,36300,539400,10400,444300,20144000,,,3
215,Florida,19.4,"15,395,887",,,"17,395,575","1,738,682","1,239,784",2020,"2,991,898",Primary,,15529098,3316376,,58118,559168,12887,542340,20598139,,580152,3
17,Georgia,32,"6,329,221",,"2,024,392","7,098,566","1,060,851","963,541",2008,,Primary,,5466500,2726500,761300,15000,267000,,136800,9376400,,,NA
75,Georgia,15.8,"6,570,595",,"1,038,824","7,376,260","139,273","901,470",2012,,Primary,,5320600,2897000,880600,17400,325300,,173800,9616400,,,NA
136,Georgia,29.9,"6,900,387",,,"7,781,773","765,366","1,295,963",2016,"2,061,329",Primary,,5339500,3083400,938100,16400,384500,5200,233900,10001000,,,NA
90,Hawaii,1,"978,968",,"10,228","1,084,589",,"10,228",2012,,Caucus,,288800,16500,123200,2300,516200,125600,257700,1330300,,,NA
166,Hawaii,4.6,"1,025,208",,,"1,127,205","33,716",,2016,"47,093",Caucus,,287900,17600,139800,,512600,129600,275000,1364600,,,NA
76,Idaho,4.1,"1,091,171",,"44,672","1,165,366",,"44,672",2012,,Caucus,1,1305400,6100,180000,14500,18900,,36200,1562500,,,1
163,Idaho,21.9,"1,149,007",,,"1,234,566","23,884",,2016,"251,080",Caucus,1,1362500,8600,202200,18900,22700,,33300,1650700,,,1
